1,428900,1,428700,200,429000,100,428500,300,429100,100,428400,300,429200,200,428300,100,0,1,0,1,0
1,427100,100,427000,100,427200,940,426900,100,427300,300,426800,100,427400,700,426700,100,0,1,0,1,0
1,511300,100,511200,129,511400,500,511100,200,511500,200,511000,300,511600,200,510900,300,0,1,1,0,0
0,415600,200,415400,100,415700,100,415300,100,415800,200,415200,600,415900,300,415100,1020,0,1,1,0,1
0,506600,300,506500,100,506700,100,506300,200,506800,239,506200,1099,506900,214,506100,699,0,0,1,1,0
0,504100,946,504000,80,504200,800,503900,319,504700,200,503800,200,504800,100,503700,300,1,1,0,1,0
0,388800,515,388500,100,388900,300,388400,100,389000,200,388300,210,389100,300,388200,500,0,0,0,0,0
0,508600,96,508100,84,508700,100,508000,100,508800,100,507900,30,508900,59,507700,200,1,1,1,0,1
0,393600,400,393500,100,393700,400,393400,500,393800,500,393300,400,393900,400,393200,900,1,1,0,0,0
0,398500,200,398400,69,398600,200,398300,258,398700,300,398200,300,398800,200,398100,600,1,0,1,1,0
1,410100,510,409900,200,410200,500,409800,800,410300,300,409700,200,410400,227,409600,500,0,0,0,0,0
1,504800,100,504200,200,504900,300,504100,200,505000,400,504000,100,505300,100,503900,100,1,1,1,0,0
0,512900,500,511700,100,513000,383,511600,100,513100,200,511500,600,513200,183,511400,200,0,1,0,1,1
1,428300,311,428100,401,428400,428,428000,523,428500,500,427900,800,428600,1400,427800,400,0,1,0,1,0
0,416300,495,416100,300,416400,300,416000,500,416500,941,415900,300,416600,300,415800,500,1,0,0,1,1
1,415100,152,414900,501,415200,400,414800,300,415300,400,414700,800,415400,800,414600,300,0,1,0,1,0
0,441500,100,441200,491,441600,600,441100,100,441700,207,441000,1600,441800,400,440900,100,1,1,0,0,0
1,429300,100,429200,493,429400,800,429100,802,429500,500,429000,500,429600,700,428900,700,0,0,0,1,0
0,525500,325,525300,299,525600,304,525200,350,525700,200,525100,800,525800,201,525000,1000,0,1,0,1,0
0,385600,240,385500,1,385700,320,385400,600,385800,900,385300,600,385900,200,385200,300,0,0,0,0,1
1,501600,100,501300,46,501900,560,501200,146,502000,46,501000,100,502100,85,500900,85,0,0,0,1,0
0,386700,300,386500,200,386800,462,386400,400,386900,400,386300,300,387000,500,386200,600,0,1,1,1,1
1,406400,200,406200,1401,406500,300,406100,200,406600,300,406000,750,406700,200,405900,700,1,0,0,1,0
0,438800,738,438600,400,438900,501,438500,400,439000,500,438400,320,439100,953,438300,1000,1,1,0,1,0
0,516400,309,516100,100,516500,300,516000,373,516600,500,515900,100,516800,500,515400,100,0,0,0,1,1
1,442100,100,441900,104,442200,300,441800,200,442300,201,441700,404,442400,900,441600,900,0,0,1,1,1
0,420400,684,420200,200,420500,412,420100,400,420600,500,420000,900,420700,400,419900,330,1,0,0,1,1
1,513900,29,513800,200,514000,300,513700,600,514100,1200,513600,100,514200,300,513500,100,0,0,1,0,1
1,509800,100,509300,137,510000,777,509200,100,510100,200,509100,100,510200,100,508800,99,0,1,1,0,1
0,511800,311,511500,200,511900,200,511400,200,512000,826,511300,200,512100,400,511200,200,1,0,0,0,0
0,524000,1755,523800,321,524100,700,523700,200,524200,700,523600,100,524300,441,523500,700,0,1,1,0,0
1,529600,3,529500,200,529700,262,529400,400,529800,3100,529300,300,529900,400,529200,300,0,0,1,1,1
